"Customer Name","Item Name","Stock Code","# Sold","Category","Supplier","Stock Level","Price","Cost","Profit","Margin","Markup","Discounts","Tax","Total","# Refunded","Total","Balance"
"","KING PLUTO GWP BONG WP-2989","4170094334","1","GLASS BONG","GLOBAL DIST","0.00","$79.99","$30.00","$49.99","62.50%","166.63%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","GWP BONG WP188","9999995255","2","GLASS BONG","GLOBAL DIST","1.00","$159.98","$50.00","$104.98","65.62%","219.96%","$5.00","$10.85","$165.83","0.00","$0.00","$165.83"
"","KING PLUTO GWP BONG WP-2495","9999958786","1","GLASS BONG","GLOBAL DIST","1.00","$79.99","$26.00","$53.99","67.50%","207.65%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","GWP BONG 317654 RG-35","9999965786","1","GLASS BONG","GLOBAL DIST","0.00","$45.99","$17.00","$28.99","63.04%","170.53%","$0.00","$3.22","$49.21","0.00","$0.00","$49.21"
"","BIIGO GWP BONG GTG-10","9999934606","1","GLASS BONG","GLOBAL DIST","2.00","$79.99","$27.00","$52.99","66.25%","196.26%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","GWP JUICE BOX 311651","9999946767","2","GLASS BONG","GLOBAL DIST","9.00","$59.98","$24.00","$35.31","58.87%","149.92%","$0.67","$4.15","$63.46","0.00","$0.00","$63.46"
"","GWP JUICE BOX 66663001WP-119","9999961952","3","GLASS BONG","GLOBAL DIST","2.00","$59.97","$19.50","$39.73","66.25%","207.54%","$0.74","$4.15","$63.38","0.00","$0.00","$63.38"
"","GWP BONG RC-10","9999979915","1","GLASS BONG","GLOBAL DIST","0.00","$44.99","$18.00","$26.99","59.99%","149.94%","$0.00","$3.15","$48.14","0.00","$0.00","$48.14"
"","GWP BONG UK362","9999998313","1","GLASS BONG","GLOBAL DIST","0.00","$33.99","$15.00","$18.99","55.87%","126.60%","$0.00","$2.38","$36.37","0.00","$0.00","$36.37"
"","PHOENIX GWP BONG PHX438","9999925255","1","GLASS BONG","GLOBAL DIST","0.00","$79.99","$25.00","$54.99","68.75%","219.96%","$0.00","$5.60","$85.59","0.00","$0.00","$85.59"
"","WH RED VEIN BALI 250 KRATOM CAPSULES","0059811215","2","WH KRATOM 250 CAPSULE ","GLOBAL DIST","8.00","$69.98","$33.98","$36.00","51.44%","105.94%","$0.00","$4.90","$74.88","0.00","$0.00","$74.88"
"","GWP BONG WP DKX-19","9999994682","2","GLASS BONG","GLOBAL DIST","0.00","$99.98","$34.00","$65.98","65.99%","194.06%","$0.00","$7.00","$106.98","0.00","$0.00","$106.98"
"","GWP BONG WP-2537","9999976621","2","GLASS BONG","GLOBAL DIST","0.00","$89.98","$31.78","$58.20","64.68%","183.13%","$0.00","$6.30","$96.28","0.00","$0.00","$96.28"
"","GWP BONG GQB-078","9999951654","1","GLASS BONG","GLOBAL DIST","1.00","$89.99","$20.00","$56.85","63.17%","349.95%","$13.14","$5.38","$82.23","0.00","$0.00","$82.23"
"","GWP BONG GQB-084","9999966218","1","GLASS BONG","GLOBAL DIST","1.00","$109.99","$33.00","$76.99","70.00%","233.30%","$0.00","$7.70","$117.69","0.00","$0.00","$117.69"
"","GWP BONG GQB-079","9999921668","1","GLASS BONG","GLOBAL DIST","2.00","$54.99","$20.00","$34.99","63.63%","174.95%","$0.00","$3.85","$58.84","0.00","$0.00","$58.84"
"","CLUB13 EXECUTIVE BLEND CAP 120","2800000468","9","CLUB13 KRATOM CAP 120","GLOBAL DIST","3.00","$485.91","$249.83","$214.88","44.22%","94.50%","$21.20","$32.54","$497.25","0.00","$0.00","$497.25"
"","CLUB13 JACKPOT 4 LEAF BLEND CAP 120","2800011006","1","CLUB13 KRATOM CAP 120","GLOBAL DIST","4.00","$53.99","$26.95","$27.04","50.08%","100.33%","$0.00","$3.78","$57.77","0.00","$0.00","$57.77"
"","CLUB13 BLISS BLEND CAP 50","2800000505","1","CLUB13 KRATOM CAP 50","GLOBAL DIST","4.00","$26.99","$13.50","$13.49","49.98%","99.93%","$0.00","$1.89","$28.88","0.00","$0.00","$28.88"
"","CLUB13 MAENG DA RED CAP 50","2800000036","2","CLUB13 KRATOM CAP 50","GLOBAL DIST","4.00","$53.98","$27.00","$26.98","49.98%","99.93%","$0.00","$3.78","$57.76","0.00","$0.00","$57.76"
"","CLUB13 EXECUTIVE BLEND CAP 50","2800000467","1","CLUB13 KRATOM CAP 50","GLOBAL DIST","4.00","$26.99","$13.50","$12.83","47.54%","99.93%","$0.66","$1.84","$28.17","0.00","$0.00","$28.17"
"","CLUB13 MAENG DA GREEN CAP 50","2800000057","1","CLUB13 KRATOM CAP 50","GLOBAL DIST","3.00","$26.99","$13.50","$13.49","49.98%","99.93%","$0.00","$1.89","$28.88","0.00","$0.00","$28.88"
"","SL BONG CR-42 66661111","9999988057","1","GLASS BONG","GLOBAL DIST","1.00","$39.99","$16.00","$23.99","59.99%","149.94%","$0.00","$2.80","$42.79","0.00","$0.00","$42.79"
"","SL BONG WP SB-104","9999926632","4","GLASS BONG","GLOBAL DIST","0.00","$83.96","$32.00","$51.00","60.74%","162.37%","$0.96","$5.81","$88.81","0.00","$0.00","$88.81"
"","SL BONG WP19 309479","9999976959","1","GLASS BONG","GLOBAL DIST","0.00","$17.99","$7.00","$10.99","61.09%","157.00%","$0.00","$1.26","$19.25","0.00","$0.00","$19.25"
"","CLUB13 GREEN MALAY EXT ST CAP 50","2800000033","1","CLUB13 EXT ST  KRATOM CAP 50","GLOBAL DIST","2.00","$39.99","$20.00","$19.99","49.99%","99.95%","$0.00","$2.80","$42.79","0.00","$0.00","$42.79"
"","CLUB13 BALI RED EXT ST CAP 50","2800000031","3","CLUB13 EXT ST  KRATOM CAP 50","GLOBAL DIST","0.00","$101.97","$40.50","$60.61","59.44%","151.78%","$0.86","$7.08","$108.19","0.00","$0.00","$108.19"
"","SL BONG WP-116 66663007","9999910822","1","GLASS BONG","GLOBAL DIST","0.00","$29.99","$13.00","$16.99","56.65%","130.69%","$0.00","$2.10","$32.09","0.00","$0.00","$32.09"
"","FUJIMA SMOKING ESSENTIALS KIT","8163564006","3","GLASS ACC","GLOBAL DIST","17.00","$98.97","$42.00","$50.18","50.70%","135.64%","$6.79","$6.45","$98.63","0.00","$0.00","$98.63"
"","JAR GSJ3","1635620030","1","GLASS ACC","GLOBAL DIST","16.00","$11.99","$3.00","$8.99","74.98%","299.67%","$0.00","$0.84","$12.83","0.00","$0.00","$12.83"
"","DARK TANK JAR GSJ1","1635620016","1","GLASS ACC","GLOBAL DIST","5.00","$19.99","$4.00","$15.99","79.99%","399.75%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","JAR GJD50","1635204506","1","GLASS ACC","GLOBAL DIST","10.00","$13.99","$3.00","$10.99","78.56%","366.33%","$0.00","$0.98","$14.97","0.00","$0.00","$14.97"
"","CLUB13 MAENG DA RED 725 CAP","2800000623","9","CLUB13 KRATOM CAP 725"," KRATOM ROOTS","4.00","$1484.91","$810.00","$541.25","36.45%","83.32%","$133.66","$94.59","$1445.84","0.00","$0.00","$1445.84"
